20-03-2024   SUCCESS   Update applied.
20-03-2024    ERROR   Failed to start  service XYZ.
Eine neue Zeile (1) im File (11:58:58.5584585).
Eine neue Zeile (2) im File (11:59:01.5853447).
Eine neue Zeile (3) im File (11:59:04.5888630).
Eine neue Zeile (4) im File (11:59:07.6009123).
Eine neue Zeile (5) im File (11:59:10.6164261).
Eine neue Zeile (6) im File (11:59:13.6168479).
Eine neue Zeile (7) im File (11:59:16.6324007).
Eine neue Zeile (8) im File (11:59:19.6369914).
Eine neue Zeile (9) im File (11:59:22.6479884).
Eine neue Zeile (10) im File (11:59:25.6481630).
